prd,N,sigma_legacy,sigma_uwm,log_eps_legacy,log_eps_uwm,R2_legacy,dim_uwm,ratio,pct_diff,legacy_ok,uwm_ok
0,198,10891.8518167386,10975.358694693965,17.898393317282697,17.91366866003432,0.9998758220824268,3.1403250324589864,0.9923914215217643,-0.7608578478235706,True,True
1,242,10719.312372822658,10863.649301766824,17.86645739592248,17.893207956464533,0.9998736207908234,3.2111398386831866,0.9867137713180146,-1.3286228681985368,True,True
2,392,10274.28323395855,10597.91968714502,17.781651376798067,17.843678829259513,0.9998685305964421,3.322886443882595,0.9694622659219589,-3.0537734078041057,True,True
3,241,10705.504475615731,10856.989332852783,17.863879469732243,17.891981478876136,0.9998736626541701,3.201990771109058,0.9860472500623478,-1.3952749937652165,True,True
4,155,11156.463621685314,11287.39074776078,17.946401431322045,17.969735856703526,0.9998785891048182,2.8555536985805836,0.9884005853078631,-1.1599414692136878,True,True
5,161,11123.88851881966,11263.34173921634,17.94055320668517,17.965470094130133,0.9998781518837941,2.8706822099752056,0.9876188414037784,-1.2381158596221575,True,True
6,191,10947.376724235293,11008.982543936258,17.90856309540111,17.919786446343224,0.9998762296453209,3.1364606914394164,0.9944040405682271,-0.5595959431772934,True,True
7,156,11146.074803004612,11280.339507682862,17.94453817804849,17.968486065035943,0.9998785138013303,2.8564221456147267,0.9880974588941402,-1.1902541105859754,True,True
8,237,10744.112784087483,10878.637650010029,17.87107929054008,17.89596541259612,0.9998738458961688,3.2073184947790576,0.9876340337595102,-1.23659662404898,True,True
9,291,10527.757541742516,10747.843618971669,17.8303940663405,17.871773659140445,0.9998716359541351,3.2511955979996476,0.9795227689356528,-2.047723106434718,True,True
10,135,11305.75241757339,11393.966503988877,17.972986696787324,17.988531299924396,0.9998801798449728,2.808149491937121,0.9922578246667125,-0.7742175333287471,True,True
11,125,11453.126711588106,11493.83512901576,17.998888913344047,18.005985009187278,0.9998810737378168,2.799456153713532,0.9964582389628255,-0.3541761037174518,True,True
12,117,11462.779802530637,11506.471383399257,18.000573872480626,18.00818258958005,0.9998818532301219,2.754000656755709,0.9962028688541601,-0.3797131145839905,True,True
13,434,10223.778070279424,10565.058223664464,17.77179575872138,17.837467701500433,0.9998675033856217,3.3621339423249443,0.967697276611253,-3.2302723388746957,True,True
14,167,11068.845763855179,11226.043882506,17.930632325890876,17.958836228441893,0.9998777400471682,2.87622849388057,0.9859970154850554,-1.4002984514944639,True,True
15,345,10420.080729380086,10677.993198680273,17.809832945077297,17.858733203665977,0.9998698535713887,3.313948112878764,0.9758463538512028,-2.4153646148797225,True,True
16,167,11110.286491616072,11251.08786237499,17.938106157690715,17.963293023110673,0.9998777419364376,2.8913522968265606,0.9874855327341479,-1.2514467265852147,True,True
17,200,10913.706890384696,10986.062167234202,17.902402401618996,17.915618164750796,0.9998757169082796,3.1566868397985246,0.9934139024749645,-0.6586097525035473,True,True
18,262,10638.911314448056,10814.204044119924,17.85139969461987,17.884084295997702,0.9998727608887745,3.2307123629464716,0.9837905102440543,-1.6209489755945716,True,True
19,206,10865.002001144652,10956.934089687757,17.89345697318641,17.910308389492336,0.9998753858081363,3.1581205995630337,0.9916096886418595,-0.8390311358140501,True,True
20,125,11389.129415151236,11453.769188794096,17.98768205820106,17.999001102653146,0.9998810778876108,2.779410426324581,0.9943564626999729,-0.564353730002709,True,True
21,250,10686.432524553742,10843.359674923426,17.86031327446624,17.889469139610675,0.9998732708346743,3.219381332113145,0.9855278110222059,-1.447218897779412,True,True
22,386,10274.68966718131,10599.794987408824,17.781730491841873,17.844032697645325,0.9998686884472804,3.3129302389543103,0.9693290935708004,-3.0670906429199563,True,True
23,200,10894.166113257532,10975.561348488833,17.89881823137853,17.91370558856296,0.9998757129056132,3.1486384781874093,0.9925839569706831,-0.7416043029316866,True,True
24,166,11095.094109564416,11242.597407293882,17.935369454421355,17.96178318505923,0.9998778128366895,2.8815981335036076,0.9868799626646979,-1.3120037335302093,True,True
25,121,11428.25368608147,11481.493771858804,17.99454074293273,18.003836381257347,0.9998814582959912,2.7679743756441852,0.9953629652347306,-0.4637034765269443,True,True
26,239,10711.360240901717,10860.900075154646,17.86497314343461,17.892701759244208,0.99987375388764,3.1986792043735934,0.9862313589833115,-1.376864101668851,True,True
27,291,10552.201151911264,10759.779406855823,17.835032333707066,17.873993484008146,0.9998716397871071,3.263006448819518,0.9807079451078433,-1.9292054892156685,True,True
28,223,10781.15766667837,10904.396974938612,17.877963277294004,17.900695577585417,0.9998745106946456,3.179845972835198,0.9886982005017351,-1.130179949826493,True,True
